We can see similar suspicious activity through multiple failed login attempts in the span of a few seconds. It is not the exact output from the book as the times differ by 2 hours and we have 4 less lines returned
+----------+----------------+---------------------+---------------------+----------+--------------+-------+
| who_what | terminal_event | start               | stop                | elapsed  | ip           | recno |
+----------+----------------+---------------------+---------------------+----------+--------------+-------+
| john     | ssh:notty      | 2015-05-03 21:07:52 | 2015-05-03 21:07:52 |  (00:00) | 192.168.56.1 |    35 |
| john     | ssh:notty      | 2015-05-03 21:07:52 | 2015-05-03 21:07:52 |  (00:00) | 192.168.56.1 |    20 |
| john     | ssh:notty      | 2015-05-03 21:07:52 | 2015-05-03 21:07:52 |  (00:00) | 192.168.56.1 |    21 |
| john     | ssh:notty      | 2015-05-03 21:07:52 | 2015-05-03 21:07:52 |  (00:00) | 192.168.56.1 |    22 |
| john     | ssh:notty      | 2015-05-03 21:07:52 | 2015-05-03 21:07:52 |  (00:00) | 192.168.56.1 |    23 |
| john     | ssh:notty      | 2015-05-03 21:07:52 | 2015-05-03 21:07:52 |  (00:00) | 192.168.56.1 |    24 |
| john     | ssh:notty      | 2015-05-03 21:07:52 | 2015-05-03 21:07:52 |  (00:00) | 192.168.56.1 |    25 |
| john     | ssh:notty      | 2015-05-03 21:07:52 | 2015-05-03 21:07:52 |  (00:00) | 192.168.56.1 |    26 |
| john     | ssh:notty      | 2015-05-03 21:07:52 | 2015-05-03 21:07:52 |  (00:00) | 192.168.56.1 |    27 |
| john     | ssh:notty      | 2015-05-03 21:07:52 | 2015-05-03 21:07:52 |  (00:00) | 192.168.56.1 |    28 |
| john     | ssh:notty      | 2015-05-03 21:07:52 | 2015-05-03 21:07:52 |  (00:00) | 192.168.56.1 |    29 |
| john     | ssh:notty      | 2015-05-03 21:07:52 | 2015-05-03 21:07:52 |  (00:00) | 192.168.56.1 |    30 |
| john     | ssh:notty      | 2015-05-03 21:07:52 | 2015-05-03 21:07:52 |  (00:00) | 192.168.56.1 |    31 |
| john     | ssh:notty      | 2015-05-03 21:07:52 | 2015-05-03 21:07:52 |  (00:00) | 192.168.56.1 |    32 |
| john     | ssh:notty      | 2015-05-03 21:07:52 | 2015-05-03 21:07:52 |  (00:00) | 192.168.56.1 |    33 |
| john     | ssh:notty      | 2015-05-03 21:07:52 | 2015-05-03 21:07:52 |  (00:00) | 192.168.56.1 |    34 |
| john     | ssh:notty      | 2015-05-03 21:07:53 | 2015-05-03 21:07:53 |  (00:00) | 192.168.56.1 |    18 |
| john     | ssh:notty      | 2015-05-03 21:07:53 | 2015-05-03 21:07:53 |  (00:00) | 192.168.56.1 |    19 |
| john     | ssh:notty      | 2015-05-03 21:07:54 | 2015-05-03 21:07:54 |  (00:00) | 192.168.56.1 |    17 |
| john     | ssh:notty      | 2015-05-03 21:07:54 | 2015-05-03 21:07:54 |  (00:00) | 192.168.56.1 |     5 |
| john     | ssh:notty      | 2015-05-03 21:07:54 | 2015-05-03 21:07:54 |  (00:00) | 192.168.56.1 |     6 |
| john     | ssh:notty      | 2015-05-03 21:07:54 | 2015-05-03 21:07:54 |  (00:00) | 192.168.56.1 |     7 |
| john     | ssh:notty      | 2015-05-03 21:07:54 | 2015-05-03 21:07:54 |  (00:00) | 192.168.56.1 |     8 |
| john     | ssh:notty      | 2015-05-03 21:07:54 | 2015-05-03 21:07:54 |  (00:00) | 192.168.56.1 |     9 |
| john     | ssh:notty      | 2015-05-03 21:07:54 | 2015-05-03 21:07:54 |  (00:00) | 192.168.56.1 |    10 |
| john     | ssh:notty      | 2015-05-03 21:07:54 | 2015-05-03 21:07:54 |  (00:00) | 192.168.56.1 |    11 |
| john     | ssh:notty      | 2015-05-03 21:07:54 | 2015-05-03 21:07:54 |  (00:00) | 192.168.56.1 |    12 |
| john     | ssh:notty      | 2015-05-03 21:07:54 | 2015-05-03 21:07:54 |  (00:00) | 192.168.56.1 |    13 |
| john     | ssh:notty      | 2015-05-03 21:07:54 | 2015-05-03 21:07:54 |  (00:00) | 192.168.56.1 |    14 |
| john     | ssh:notty      | 2015-05-03 21:07:54 | 2015-05-03 21:07:54 |  (00:00) | 192.168.56.1 |    15 |
| john     | ssh:notty      | 2015-05-03 21:07:54 | 2015-05-03 21:07:54 |  (00:00) | 192.168.56.1 |    16 |
| john     | ssh:notty      | 2015-05-04 10:24:00 | 2015-05-04 10:24:00 |  (00:00) | 192.168.56.1 |     4 |
| john     | ssh:notty      | 2015-05-04 12:35:34 | 2015-05-04 12:35:34 |  (00:00) | 192.168.56.1 |     3 |
| john     | :0             | 2015-05-10 13:56:00 | 2015-05-10 13:56:00 |  (00:00) | 0.0.0.0      |     2 |
| john     | :0             | 2015-06-19 14:57:19 | 2015-06-19 14:57:19 |  (00:00) | 0.0.0.0      |     1 |
+----------+----------------+---------------------+---------------------+----------+--------------+-------+
